transaction_id,user_id,product_id,timestamp
1,4440,1136,2023-08-06
1,4440,746,2023-06-12
1,4440,95,2023-10-09
1,4440,346,2023-03-29
2,1222,310,2023-07-22
2,1222,381,2023-01-15
2,1222,831,2023-06-21
2,1222,555,2023-02-08
3,1130,50,2023-03-14
3,1130,904,2023-09-04
4,4150,1404,2023-09-27
4,4150,1452,2023-06-28
4,4150,1365,2023-08-02
5,416,1137,2023-03-29
5,416,1381,2023-12-27
6,3981,725,2023-03-18
6,3981,1434,2024-01-01
6,3981,1494,2023-08-30
7,1959,208,2023-06-22
7,1959,1004,2023-07-28
7,1959,335,2023-11-28
7,1959,704,2023-02-19
8,1222,1340,2023-09-20
8,1222,948,2023-04-20
8,1222,1125,2023-03-18
8,1222,125,2023-04-21
9,1235,349,2023-05-13
9,1235,1065,2023-01-18
9,1235,694,2023-08-23
9,1235,429,2023-08-13
10,671,801,2023-01-11
10,671,1426,2023-05-02
10,671,1125,2023-02-03
11,1533,1035,2023-05-13
11,1533,499,2023-07-24
11,1533,1442,2023-07-14
12,4214,1256,2023-11-23
12,4214,114,2023-03-23
12,4214,147,2023-12-27
13,2851,356,2023-05-23
13,2851,1176,2023-02-28
14,1575,1439,2023-03-03
14,1575,735,2023-03-13
14,1575,935,2023-07-06
15,4928,40,2023-03-03
15,4928,456,2023-07-02
16,1040,1464,2023-03-14
16,1040,993,2023-11-15
17,11,204,2023-04-19
17,11,991,2023-08-09
17,11,77,2023-06-04
18,516,1347,2023-04-09
18,516,512,2023-07-25
18,516,815,2023-11-02
18,516,596,2023-12-27
19,2941,1309,2023-07-12
19,2941,209,2023-07-26
19,2941,1167,2023-11-24
20,3363,1053,2023-12-24
20,3363,505,2023-10-31
20,3363,240,2023-02-07
21,4970,1218,2023-03-22
21,4970,421,2023-12-19
22,2919,546,2023-04-21
22,2919,520,2023-09-05
22,2919,58,2023-08-19
22,2919,839,2023-06-27
23,2035,1020,2023-07-29
23,2035,1494,2023-11-07
23,2035,260,2023-07-04
24,4837,34,2023-01-05
24,4837,769,2023-07-05
24,4837,117,2023-09-05
24,4837,836,2023-03-08
25,416,919,2023-03-19
25,416,174,2023-04-02
26,327,1277,2023-04-24
26,327,1034,2023-08-06
26,327,44,2023-09-23
27,4890,1107,2023-09-10
27,4890,1460,2023-12-13
27,4890,871,2023-05-11
27,4890,1448,2023-03-12
28,3582,260,2023-07-12
28,3582,725,2023-11-12
28,3582,1020,2023-07-05
29,947,188,2023-08-28
29,947,1105,2023-05-10
29,947,130,2023-08-22
29,947,730,2023-06-02
30,1725,1309,2023-07-15
30,1725,209,2023-08-16
30,1725,1049,2023-01-11
31,17,1241,2023-07-01
31,17,1273,2023-10-04
