transaction_id,product_id
1,1
2,1
3,1
4,1
5,1
6,2
6,9247
6,1204
7,2
7,15957
7,7871
7,18204
8,2
8,18901
8,8117
8,1200
9,2
9,17639
9,5462
10,2
10,15957
10,3051
10,18618
11,3
12,3
13,3
14,3
15,3
16,4
17,4
18,4
19,4
20,4
21,5
22,5
23,5
24,5
25,5
26,6
27,6
28,6
29,6
30,6
31,7
32,7
33,7
34,7
35,7
36,8
36,9247
36,1200
37,8
37,9247
37,3074
38,8
38,17639
38,18257
38,1510
39,8
39,7794
39,8094
40,8
40,9911
40,3033
41,9
42,9
43,9
44,9
45,9
46,10
47,10
48,10
49,10
50,10
51,11
52,11
53,11
54,11
55,11
56,12
57,12
58,12
59,12
60,12
61,13
62,13
63,13
64,13
65,13
66,14
67,14
68,14
69,14
70,14
71,15
72,15
73,15
74,15
75,15
76,16
77,16
78,16
79,16
80,16
81,17
81,17639
81,1254
81,8104
82,17
82,9247
82,8114
82,8095
83,17
83,7794
83,17616
84,17
84,9909
84,8138
85,17
85,15957
85,11516
86,18
87,18
88,18
89,18
90,18
91,19
92,19
93,19
94,19
95,19
96,20
96,17639
96,11516
97,20
97,17639
97,3078
97,17936
98,20
98,9909
98,17602
98,8121
99,20
99,9911
99,8328
99,5462
100,20
100,17936
100,10912
100,7871
101,21
102,21
103,21
104,21
105,21
106,22
107,22
108,22
109,22
110,22
111,23
111,18470
111,3148
111,10847
111,69
111,9691
111,8694
111,703
112,23
112,7952
112,14727
112,16868
112,69
112,9694
112,234
112,742
113,23
113,16787
113,15043
113,16395
113,71
113,9694
113,9022
113,11737
113,244
114,23
114,18383
114,3188
114,10272
114,71
114,9699
114,8601
114,11518
115,23
115,18992
115,17765
115,3404
115,69
115,9690
115,10944
115,11518
116,24
117,24
118,24
119,24
120,24
121,25
122,25
123,25
124,25
125,25
126,26
127,26
128,26
129,26
130,26
131,27
132,27
133,27
134,27
135,27
136,28
136,19348
137,28
137,8377
138,28
138,10827
139,28
139,19360
139,4886
140,28
140,8460
141,29
142,29
143,29
144,29
145,29
146,30
147,30
148,30
149,30
150,30
151,31
151,8844
152,31
152,8353
152,8452
153,31
153,8655
154,31
154,8191
155,31
155,8260
155,8623
156,32
157,32
158,32
159,32
160,32
161,33
162,33
163,33
164,33
165,33
166,34
167,34
168,34
169,34
170,34
171,35
172,35
173,35
174,35
175,35
176,36
177,36
178,36
179,36
180,36
181,37
181,14875
181,15471
181,15041
182,37
182,17780
182,3437
182,15831
183,37
183,17686
183,18432
184,37
184,14653
184,15976
185,37
185,17829
185,16865
186,38
187,38
188,38
189,38
190,38
191,39
192,39
193,39
194,39
195,39
196,40
197,40
198,40
199,40
200,40
201,41
201,71
201,9697
201,9059
201,1091
201,216
202,41
202,69
202,9688
202,222
202,1093
203,41
203,69
203,9699
203,9085
203,1079
203,5413
204,41
204,71
204,9704
204,100
204,7985
205,41
205,71
205,9690
205,14794
205,7529
205,9038
206,42
206,15438
206,8873
206,8668
207,42
207,15429
207,8282
208,42
208,9913
208,8584
209,42
209,15430
209,8384
210,42
210,15423
210,8558
211,43
212,43
213,43
214,43
215,43
216,44
217,44
218,44
219,44
220,44
221,45
221,19337
221,14912
221,10659
221,15249
221,7328
222,45
222,1335
222,18235
222,13442
222,15394
222,4321
222,6764
223,45
223,18836
223,8527
223,19127
223,15285
223,6056
223,5616
224,45
224,1328
224,7933
224,1374
224,15393
224,6602
225,45
225,19171
225,14912
225,13697
225,14810
225,6304
226,46
226,18675
226,18488
226,13693
226,15001
226,6730
226,5648
227,46
227,19305
227,7824
227,6335
227,14654
227,4484
227,7444
228,46
228,19234
228,18486
228,7143
228,15198
228,4189
228,5028
229,46
229,19096
229,18235
229,1462
229,14807
229,7187
230,46
230,12118
230,7733
230,1411
230,14907
230,10349
231,47
231,1362
231,7824
231,7400
231,14841
231,4890
232,47
232,19234
232,18492
232,13683
232,15045
232,4048
232,6058
233,47
233,19207
233,18493
233,18627
233,15106
233,6934
234,47
234,12753
234,7746
234,16646
234,14852
234,6824
235,47
235,18836
235,1227
235,9652
235,15014
235,4597
236,48
237,48
238,48
239,48
240,48
241,49
242,49
243,49
244,49
245,49
246,50
246,19260
246,19423
246,10299
246,15013
246,4509
247,50
247,1395
247,18912
247,6863
247,15390
247,4265
247,5625
248,50
248,12240
248,7824
248,5856
248,15248
248,5888
249,50
249,19110
249,7720
249,19093
249,15249
249,5770
250,50
250,1346
250,18913
250,1411
250,14815
250,1383
251,51
251,12728
251,19423
251,19100
251,14813
251,6114
251,6764
252,51
252,19436
252,14912
252,7664
252,15391
252,6998
253,51
253,12233
253,7750
253,18802
253,15190
253,6444
253,7401
254,51
254,19168
254,18477
254,13442
254,14660
254,7082
255,51
255,18821
255,14665
255,19099
255,15023
255,4307
255,4573
